DATE,DAY_NUMBERS,N11D,GPRD_RAW,GPRD_THREAT_RAW,GPRD_ACT_RAW,GPRD_SHARE,GPRD_THREAT_SHARE,GPRD_ACT_SHARE,GPRD*,GPRD_THREAT,GPRD_ACT,EVENT,*value of the index on the day the newspaper was published
1/1/85,1985,822,6,4,2,0.73%,0.49%,0.24%,142,113,266,,"For instance, GPR_DAILY spikes on September 12, 2001, one day after 9/11"
1/2/85,1985.002738,891,3,2,1,0.34%,0.22%,0.11%,65,52,123,,
1/3/85,1985.005476,1300,3,3,0,0.23%,0.23%,0.00%,45,53,0,,
1/4/85,1985.008214,1287,9,6,3,0.70%,0.47%,0.23%,136,108,255,,
1/5/85,1985.010951,897,3,2,1,0.33%,0.22%,0.11%,65,52,122,,
1/6/85,1985.013689,1230,8,7,1,0.65%,0.57%,0.08%,126,132,89,,
1/7/85,1985.016427,1056,4,3,1,0.38%,0.28%,0.09%,74,66,104,,
1/8/85,1985.019165,1265,6,6,0,0.47%,0.47%,0.00%,92,110,0,,
1/9/85,1985.021903,1297,7,7,0,0.54%,0.54%,0.00%,105,125,0,,
1/10/85,1985.024641,1524,6,6,0,0.39%,0.39%,0.00%,76,91,0,,
1/11/85,1985.027379,1364,2,2,0,0.15%,0.15%,0.00%,28,34,0,,
1/12/85,1985.030116,912,3,3,0,0.33%,0.33%,0.00%,64,76,0,,
1/13/85,1985.032854,1285,2,2,0,0.16%,0.16%,0.00%,30,36,0,,
1/14/85,1985.035592,1043,3,3,0,0.29%,0.29%,0.00%,56,67,0,,
1/15/85,1985.03833,1232,3,3,0,0.24%,0.24%,0.00%,47,56,0,,
1/16/85,1985.041068,1378,5,4,1,0.36%,0.29%,0.07%,70,67,79,,
1/17/85,1985.043806,1573,5,5,0,0.32%,0.32%,0.00%,62,74,0,,
1/18/85,1985.046543,1389,4,3,1,0.29%,0.22%,0.07%,56,50,79,,
1/19/85,1985.049281,990,3,3,0,0.30%,0.30%,0.00%,59,70,0,,
1/20/85,1985.052019,1224,5,5,0,0.41%,0.41%,0.00%,79,95,0,,
1/21/85,1985.054757,1037,5,5,1,0.48%,0.48%,0.10%,94,112,105,,